cmMb	pop
2.69489614086961	YRI
1.39312295490164	YRI
1.24487088737292	YRI
2.36932756016246	YRI
1.64880988151578	YRI
1.99720972630937	YRI
0.833386429473235	YRI
1.44572905385245	YRI
0.872768541732991	YRI
1.23462593736593	YRI
1.14157407414268	YRI
1.06104885045315	YRI
1.29488016255675	YRI
2.33851587411158	YRI
1.74329856658245	YRI
1.03184608419635	YRI
0.964623851536215	YRI
1.32051286595968	YRI
2.076419755197	YRI
0.979987168972137	YRI
0.92534863527958	YRI
0.706628145257175	YRI
1.06738330005493	YRI
0.523131857223413	YRI
0.960548503871703	YRI
0.8282006715978	YRI
0.419177887767456	YRI
0.441508428950532	YRI
0.312446955289061	YRI
0.992071457213103	YRI
1.31915482003759	YRI
0.589512651172976	YRI
0.325949843115937	YRI
0.833314719515808	YRI
1.07893474779963	YRI
0.196489198881807	YRI
0.818875415291517	YRI
0.53802508383183	YRI
1.28464080599031	YRI
0.618281408335762	YRI
0.697720544134281	YRI
0.481412985630498	YRI
0.470241348294411	YRI
0.480229452757461	YRI
0.650220974211425	YRI
0.130706917310996	YRI
0.400643237503948	YRI
0.744114342511127	YRI
0.567277077148672	YRI
0.0494200890836995	YRI
0.173282308418907	YRI
0.164634732473186	YRI
0.215552890757434	YRI
0.809546914517178	YRI
1.23459992870894	YRI
0.738455384416216	YRI
0.887919024641841	YRI
0.69098238657191	YRI
0.880496695914203	YRI
0.837978903057976	YRI
0.560037720629947	YRI
1.16392013758552	YRI
0.878916107738618	YRI
0.837322324753217	YRI
0.695917520578344	YRI
0.578642456958921	YRI
0.498034395726753	YRI
0.730573915430465	YRI
0.521838271325947	YRI
0.471028227054961	YRI
0.468087614183112	YRI
0.26858476032505	YRI
0.258513496440257	YRI
0.290397845577333	YRI
0.429635718490559	YRI
0.233290364813668	YRI
0.922463462960148	YRI
0.351676993497618	YRI
0.456069077526498	YRI
0.411853252707306	YRI
0.684180024876985	YRI
0.863470597900992	YRI
0.499879437624954	YRI
0.492149713552029	YRI
0.863665660288534	YRI
0.557098719986255	YRI
0.395858880050337	YRI
1.16953484003804	YRI
0.49034844739907	YRI
0.503820113262464	YRI
0.614981583532828	YRI
0.905917178199678	YRI
0.122301573085205	YRI
0.355754935751928	YRI
0.944902390768721	YRI
0.396091388411751	YRI
0.246022263583105	YRI
0.379571096468893	YRI
0.501896143625644	YRI
0.541910864341716	YRI
0.485932640282258	YRI
1.0593761481157	YRI
0.247409952754561	YRI
0.375461613821156	YRI
0.510300195910225	YRI
0.447059607262867	YRI
0.422351121675803	YRI
0.946954593189728	YRI
0.46161432623571	YRI
0.969036210013157	YRI
1.11212117098166	YRI
0.833876481020476	YRI
0.859608335934893	YRI
0.459345657502408	YRI
0.745742127888671	YRI
0.679064663974358	YRI
0.686598562861688	YRI
0.553414335047419	YRI
0.279712737040142	YRI
0.576189856012199	YRI
0.61336803765336	YRI
1.03050780117456	YRI
0.20140841769258	YRI
0.374381606724672	YRI
0.525751276312641	YRI
0.548635079354676	YRI
0.607398083473164	YRI
0.16983719027749	YRI
0.610201178819939	YRI
0.910761388173664	YRI
0.710866199667697	YRI
0.613321203961054	YRI
1.11041876022016	YRI
0.515494579204968	YRI
0.888592861489416	YRI
0.966964369108193	YRI
0.968376896530862	YRI
0.935192202948767	YRI
0.500901812461834	YRI
1.32636773793747	YRI
0.997854643571592	YRI
0.709596637252827	YRI
0.485300255722775	YRI
0.720022229001723	YRI
0.389975839883802	YRI
0.311790047454968	YRI
0.0767954883995768	YRI
0.918444969100678	YRI
0.33185125369822	YRI
0.729671118951975	YRI
0.444158126856001	YRI
0.240965594296336	YRI
0.561891926193922	YRI
0.873151231009524	YRI
0.645841421131464	YRI
0.274950099179931	YRI
0.436840209189753	YRI
0.442221385541604	YRI
0.338148796490794	YRI
0.603327761182191	YRI
0.402883853881431	YRI
0.35103719010776	YRI
0.248418234873632	YRI
0.236295826909077	YRI
